,doc,page,min,max,year,pos,len,blocks_on_page,group
0,Economics-1955-0,0,0.079260781,0.09363449400000001,1955.0,top,0.01437371300000001,12,E5
1,Economics-1955-0,0,0.10308008,0.11416838,1955.0,top,0.011088299999999995,12,E5
2,Economics-1955-0,0,0.12525667000000001,0.16098563,1955.0,center,0.035728959999999976,12,E5
3,Economics-1955-0,0,0.17535934,0.18973306,1955.0,center,0.014373720000000006,12,E5
4,Economics-1955-0,0,0.212731,0.2221766,1955.0,center,0.009445599999999998,12,E5
5,Economics-1955-0,0,0.22587269999999998,0.25215605,1955.0,center,0.02628335000000004,12,E5
6,Economics-1955-0,0,0.25338808,0.26406571,1955.0,center,0.010677629999999994,12,E5
7,Economics-1955-0,0,0.26611909,0.27926078,1955.0,center,0.013141689999999984,12,E5
8,Economics-1955-0,0,0.30800822,0.36837783,1955.0,center,0.06036961000000002,12,E5
9,Economics-1955-0,0,0.89733058,0.91088295,1955.0,center,0.01355236999999998,12,E5
10,Economics-1955-0,0,0.83531827,0.85585213,1955.0,center,0.020533860000000015,12,E5
11,Economics-1955-0,0,0.93593431,0.96427107,1955.0,btm,0.02833675999999996,12,E5
12,Economics-1955-0,1,0.13033268,0.15499021,1955.0,center,0.024657529999999983,12,E5
13,Economics-1955-0,1,0.17495108,0.1851272,1955.0,center,0.010176119999999983,12,E5
14,Economics-1955-0,1,0.17338552000000002,0.18825832,1955.0,center,0.014872799999999992,12,E5
15,Economics-1955-0,1,0.1741683,0.18551859,1955.0,center,0.011350290000000013,12,E5
16,Economics-1955-0,1,0.24187867000000002,0.25596869,1955.0,center,0.014090019999999981,12,E5
17,Economics-1955-0,1,0.27045009000000003,0.28493151,1955.0,center,0.014481419999999967,12,E5
18,Economics-1955-0,1,0.34168297000000003,0.42974558,1955.0,center,0.08806260999999999,12,E5
19,Economics-1955-0,1,0.43209395,0.53816044,1955.0,center,0.10606648999999996,12,E5
20,Economics-1955-0,1,0.5401174400000001,0.80978471,1955.0,center,0.2696672699999999,12,E5
21,Economics-1955-0,1,0.81135029,0.8657534100000001,1955.0,center,0.05440312000000003,12,E5
22,Economics-1955-0,1,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,12,E5
23,Economics-1955-0,1,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,12,E5
24,Economics-1955-0,2,0.76203525,0.81722116,1955.0,center,0.05518590999999995,4,E5
25,Economics-1955-0,2,0.78590995,0.82152641,1955.0,center,0.03561646000000007,4,E5
26,Economics-1955-0,2,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,4,E5
27,Economics-1955-0,2,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,4,E5
28,Economics-1955-0,3,0.42974558,0.44305283,1955.0,center,0.013307249999999993,2,E5
29,Economics-1955-0,3,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,2,E5
30,Economics-1955-0,4,0.07553815800000001,0.083757341,1955.0,top,0.008219182999999991,6,E5
31,Economics-1955-0,4,0.075146772,0.08532289400000001,1955.0,top,0.01017612200000001,6,E5
32,Economics-1955-0,4,0.10215265,0.48101762000000003,1955.0,center,0.37886497,6,E5
